age,job,marital,education,default,balance,housing,loan,contact,day,month,pdays,poutcome,deposit,deposit_encoded,duration_log,campaign_log,previous_log,cluster
59.0,admin.,married,secondary,no,2343.0,yes,no,unknown,5,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,3
56.0,admin.,married,secondary,no,45.0,no,no,unknown,5,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
41.0,technician,married,secondary,no,1270.0,yes,no,unknown,5,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
55.0,services,married,secondary,no,2476.0,yes,no,unknown,5,may,-1.0,unknown,yes,1.0,6.363028103540465,0.6931471805599453,0.0,3
54.0,admin.,married,tertiary,no,184.0,no,no,unknown,5,may,-1.0,unknown,yes,1.0,6.513230110912307,1.0986122886681098,0.0,1
42.0,management,single,tertiary,no,0.0,yes,yes,unknown,5,may,-1.0,unknown,yes,1.0,6.333279628139691,1.0986122886681098,0.0,1
56.0,management,married,tertiary,no,830.0,yes,yes,unknown,6,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
60.0,retired,divorced,secondary,no,545.0,yes,no,unknown,6,may,-1.0,unknown,yes,1.0,6.93828448401696,0.6931471805599453,0.0,1
37.0,technician,married,secondary,no,1.0,yes,no,unknown,6,may,-1.0,unknown,yes,1.0,6.411818267709897,0.6931471805599453,0.0,1
28.0,services,single,secondary,no,4087.0,yes,no,unknown,6,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.3862943611198906,0.0,3
38.0,admin.,single,secondary,no,100.0,yes,no,unknown,7,may,-1.0,unknown,yes,1.0,6.668228248417403,0.6931471805599453,0.0,1
30.0,blue-collar,married,secondary,no,309.0,yes,no,unknown,7,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
29.0,management,married,tertiary,no,199.0,yes,yes,unknown,7,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.6094379124341003,0.0,1
46.0,blue-collar,single,tertiary,no,460.0,yes,no,unknown,7,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
31.0,technician,single,tertiary,no,703.0,yes,no,unknown,8,may,-1.0,unknown,yes,1.0,6.8501261661455,1.0986122886681098,0.0,1
35.0,management,divorced,tertiary,no,3837.0,yes,no,unknown,8,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,3
